2013,
"F4_A (model21)",
"Seed","Proportion"
1,0.4059465
2,0.237176
3,0.138534
4,0.080969
5,0.047477
6,0.027698
7,0.0161375
8,0.009471
9,0.005408
10,0.0033155
11,0.026808
12,0.0010595
13,0
14,0
15,0
16,0
,
"F4_B (model23)",
"Seed","Proportion"
1,0.4388715
2,0.238774
3,0.129839
4,0.0704875
5,0.0383285
6,0.020938
7,0.013905
8,0.013934
9,0.0069555
10,0.0069045
11,0.0140775
12,0.006985
13,0
14,0
15,0
16,0
,
"E8 (model25)",
"Seed","Proportion"
1,0.4258755
2,0.22827
3,0.109695
4,0.0795265
5,0.0335575
6,0.049358
7,0.024837
8,0.013556
9,0.0058435
10,0.0118225
11,0.0159925
12,0.001666
13,0
14,0
15,0
16,0
,
"NCG (model27)",
"Seed","Proportion"
1,0.444445
2,0.24473
3,0.132911
4,0.068747
5,0.0388965
6,0.0283705
7,0.0171565
8,0.0081035
9,0.003293
10,0.0038035
11,0.0033375
12,0.0023415
13,0.0015645
14,0.0015255
15,0.000709
16,0.0000655
,
"Power (model31)",
"Seed","Proportion"
1,0.437855
2,0.2431855
3,0.1305715
4,0.0613965
5,0.0342775
6,0.031893
7,0.0198735
8,0.007934
9,0.006484
10,0.007595
11,0.0064405
12,0.00466
13,0.0031545
14,0.003064
15,0.0014795
16,0.000136
,
2014,
"F4_A (model21)",
"Seed","Proportion"
1,0.3945345
2,0.2354945
3,0.1404175
4,0.0836055
5,0.050045
6,0.029919
7,0.0177755
8,0.010655
9,0.0063025
10,0.003761
11,0.026091
12,0.001374
13,0.000025
14,0
15,0
16,0
,
"F4_B (model23)",
"Seed","Proportion"
1,0.432677
2,0.237183
3,0.129504
4,0.0711265
5,0.0390995
6,0.021291
7,0.0153165
8,0.015395
9,0.0077545
10,0.007685
11,0.015302
12,0.007666
13,0
14,0
15,0
16,0
,
"E8 (model25)",
"Seed","Proportion"
1,0.3887415
2,0.236404
3,0.114982
4,0.084276
5,0.037578
6,0.053825
7,0.026915
8,0.0162745
9,0.007438
10,0.0130595
11,0.0173905
12,0.003116
13,0
14,0
15,0
16,0
,
"NCG (model27)",
"Seed","Proportion"
1,0.4302835
2,0.2441765
3,0.135024
4,0.069854
5,0.0396435
6,0.031186
7,0.019516
8,0.0093645
9,0.0041505
10,0.004853
11,0.004113
12,0.002926
13,0.0018685
14,0.001945
15,0.0010185
16,0.0000775
,
"Power (model31)",
"Seed","Proportion"
1,0.4077675
2,0.242406
3,0.1360025
4,0.0640535
5,0.0359105
6,0.037513
7,0.02451
8,0.009901
9,0.008197
10,0.0096765
11,0.008208
12,0.0059005
13,0.0038775
14,0.003934
15,0.0020225
16,0.00012
,
2015,
"F4_A (model21)",
"Seed","Proportion"
1,0.385026
2,0.2338655
3,0.141848
4,0.086339
5,0.052383
6,0.031813
7,0.019263
8,0.0117805
9,0.00717
10,0.0043245
11,0.024589
12,0.0015735
13,0.000025
14,0
15,0
16,0
,
"F4_B (model23)",
"Seed","Proportion"
1,0.4281585
2,0.233458
3,0.1270595
4,0.0693165
5,0.0378365
6,0.0207125
7,0.018734
8,0.0185495
9,0.0092605
10,0.0092645
11,0.018358
12,0.009292
13,0
14,0
15,0
16,0
,
"E8 (model25)",
"Seed","Proportion"
1,0.3802635
2,0.238309
3,0.116369
4,0.084472
5,0.038059
6,0.0555525
7,0.027631
8,0.0167565
9,0.007549
10,0.01357
11,0.0182655
12,0.003203
13,0
14,0
15,0
16,0
,
"NCG (model27)",
"Seed","Proportion"
1,0.4097725
2,0.2423045
3,0.139777
4,0.0754795
5,0.043272
6,0.034412
7,0.0220635
8,0.0106165
9,0.004208
10,0.004928
11,0.004439
12,0.0033
13,0.002067
14,0.0021925
15,0.0010845
16,0.0000835
,
"Power (model31)",
"Seed","Proportion"
1,0.3957855
2,0.242418
3,0.137754
4,0.06737
5,0.0370625
6,0.0389755
7,0.0258505
8,0.009999
9,0.008301
10,0.010123
11,0.0089885
12,0.0066685
13,0.0040535
14,0.004394
15,0.0020955
16,0.000161
,
2016,
"F4_A (model21)",
"Seed","Proportion"
1,0.3854435
2,0.2340585
3,0.142715
4,0.0861855
5,0.052043
6,0.0321215
7,0.019166
8,0.0116075
9,0.007163
10,0.004274
11,0.023589
12,0.0016265
13,0.000007
14,0
15,0
16,0
,
"F4_B (model23)",
"Seed","Proportion"
1,0.4308655
2,0.2321505
3,0.1254715
4,0.0671065
5,0.03634
6,0.019499
7,0.0197075
8,0.019704
9,0.009828
10,0.009734
11,0.0197335
12,0.00986
13,0
14,0
15,0
16,0
,
"E8 (model25)",
"Seed","Proportion"
1,0.3875675
2,0.237484
3,0.115648
4,0.0830445
5,0.0372115
6,0.0544465
7,0.0272215
8,0.016158
9,0.0072525
10,0.0133025
11,0.0175375
12,0.003126
13,0
14,0
15,0
16,0
,
"NCG (model27)",
"Seed","Proportion"
1,0.416033
2,0.2434195
3,0.1370835
4,0.0743575
5,0.0421485
6,0.033339
7,0.0215075
8,0.0102905
9,0.004163
10,0.004979
11,0.0044265
12,0.0030835
13,0.0018815
14,0.002239
15,0.000963
16,0.0000855
,
"Power (model31)",
"Seed","Proportion"
1,0.403049
2,0.243385
3,0.134112
4,0.066399
5,0.036338
6,0.037863
7,0.0253825
8,0.0099715
9,0.0083875
10,0.0095885
11,0.0089885
